group,time,s_MP,change,type,length,sum_change,area,surge_area,group,time,change,type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,length,sum_change,area
6369,1677170622759.0,19.76,0.0005575481182245601,surge,1,0.0005575481182245601,0.0005575481182245601,0.0005575481182245601,6370.0,1677171071187.0,-0.0016163920219638638,precursor,19.76,3664464.8,34486780.51,425020.7,329311.64,2.0,-0.00222362824935326,-0.00444725649870652
6371,1677171655097.0,19.75,0.0009127013314418786,surge,3,0.002279636325303813,0.00683890897591144,0.00683890897591144,6372.0,1677172764378.0,-0.0009587796373275781,precursor,19.8,3664126.62,34571095.02,424965.22,333404.46,2.0,-0.0025257638095916414,-0.005051527619183283
6373,1677173524261.0,19.66,0.0010202539319387194,surge,2,0.001883819362102368,0.003767638724204736,0.003767638724204736,6374.0,1677174363455.0,-0.00035292164763024437,precursor,19.79,2271529.38,33591757.97,353661.28,284408.76,3.0,-0.007933379976078691,-0.023800139928236073
6375,1677175997139.0,19.66,0.0009192557967300675,surge,1,0.0009192557967300675,0.0009192557967300675,0.0009192557967300675,6376.0,1677176430145.0,-0.0006092335611885824,precursor,19.65,3572070.09,34411072.55,421270.21,326077.13,2.0,-0.0015261461511533515,-0.003052292302306703
6377,1677177816451.0,19.61,0.0006143021030631135,surge,4,0.009268112552466424,0.037072450209865694,0.037072450209865694,6378.0,1677181875252.0,-0.0005521129275212533,precursor,19.77,3653166.04,34531293.04,424404.93,331324.48,1.0,-0.0005521129275212533,-0.0005521129275212533
6379,1677182748395.0,19.84,0.0020256957015630907,surge,1,0.0020256957015630907,0.0020256957015630907,0.0020256957015630907,6380.0,1677183948866.0,0.00040447304328032895,precursor,19.79,3630016.2,34549598.44,423005.63,331216.67,9.0,-0.012817512393684283,-0.11535761154315854
6381,1677192728608.0,19.6,0.004957168412791835,surge,2,0.006283486478717049,0.012566972957434098,0.012566972957434098,6382.0,1677196509590.0,0.0002546322076482532,precursor,19.71,2413718.62,33736640.7,361030.02,290416.33,3.0,1.5869662333756153e-05,4.760898700126846e-05
6383,1677201378530.0,19.73,0.003666146693051453,surge,1,0.003666146693051453,0.003666146693051453,0.003666146693051453,6384.0,1677202480897.0,-0.0016175647485740408,precursor,19.76,3360891.13,34705495.86,409287.52,338692.17,4.0,-0.0070435412187299425,-0.02817416487491977
6385,1677208725636.0,19.61,0.0016828666616562128,surge,2,0.0036169707871115068,0.0072339415742230136,0.0072339415742230136,6386.0,1677212331364.0,-0.0006088012813601385,precursor,19.69,3301766.66,34809945.02,406643.0,344260.09,3.0,-0.006046533497233297,-0.01813960049169989
6387,1677218958574.0,19.61,0.0014843954955121364,surge,2,0.0032703976450496833,0.006540795290099367,0.006540795290099367,6388.0,1677222866641.0,-0.0010649666028783034,precursor,19.7,3517130.49,34768681.87,418010.83,342324.35,2.0,-0.0018792699234571274,-0.003758539846914255
6389,1677229020245.0,19.59,0.0006664935518128856,surge,1,0.0006664935518128856,0.0006664935518128856,0.0006664935518128856,6390.0,1677231565432.0,-0.004741390180078853,precursor,19.55,3588095.87,34750400.2,422368.27,342320.55,2.0,-0.008013623291196948,-0.016027246582393895
6391,1677237783224.0,19.47,0.0018643171017038163,surge,2,0.005201997485742104,0.010403994971484209,0.010403994971484209,6392.0,1677242978357.0,-0.005777843200365595,precursor,19.49,3569200.05,34832526.85,421577.14,347042.58,8.0,-0.06307211981469567,-0.5045769585175653
6393,1677267646052.0,18.33,0.003657231888084789,surge,1,0.003657231888084789,0.003657231888084789,0.003657231888084789,6394.0,1677271881832.0,-0.00648905712847343,precursor,18.39,3918811.5,34630346.52,448986.45,342723.62,2.0,-0.008208044222474509,-0.016416088444949017
