,group,time,s_MP,change,type,length,sum_change,area,surge_area,group.1,time.1,change.1,type.1,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length.1,sum_change.1,area.1,Cluster
2463,4927,1673358900000.0,12.4,0.0036316442,surge,3,0.025004387,0.07501316,0.07501316,4928.0,1673368200000.0,-0.0048708883,precursor,12.7,0.011466541,-0.0006396122,0.004010116,-0.0030999796,2.0,-0.0051772296,-0.010354459,Cluster 0
2464,4929,1673374700000.0,12.77,0.010993038,surge,1,0.010993038,0.010993038,0.010993038,4930.0,1673378800000.0,-0.02736745,precursor,12.76,1.331917,-0.18254378,0.7992329,-0.32592106,2.0,-0.027132094,-0.054264188,Cluster 0
2465,4931,1673378800000.0,12.77,0.00070582086,surge,2,0.0012539807,0.0025079614,0.0025079614,4932.0,1673378900000.0,0.0004696674,precursor,12.78,0.0033832274,6.6932025e-06,0.0012119778,-4.268193e-05,10.0,0.0010186217,0.010186217,Cluster 0
2466,4933,1673379400000.0,12.8,0.0010168471,surge,1,0.0010168471,0.0010168471,0.0010168471,4934.0,1673379600000.0,-0.0007807621,precursor,12.79,-0.0013180992,0.0017384442,-0.00060415105,0.007201751,4.0,-0.0014835807,-0.0059343227,Cluster 0
2467,4935,1673380100000.0,12.8,0.0017993812,surge,1,0.0017993812,0.0017993812,0.0017993812,4936.0,1673380400000.0,-7.794204e-05,precursor,12.8,-0.007127291,0.0028060037,-0.0027785667,0.01141197,5.0,-0.004065133,-0.020325666,Cluster 0
2468,4937,1673381400000.0,12.77,0.0017267853,surge,1,0.0017267853,0.0017267853,0.0017267853,4938.0,1673381500000.0,0.00031311158,precursor,12.77,0.005135028,0.0011917066,0.001843509,0.0048427037,1.0,0.00031311158,0.00031311158,Cluster 0
2469,4939,1673382000000.0,12.79,0.0006264674,surge,1,0.0006264674,0.0006264674,0.0006264674,4940.0,1673382500000.0,-0.0014855361,precursor,12.77,-0.010499138,0.00086258375,-0.0044663153,0.004583088,3.0,-0.003207833,-0.0096235,Cluster 0
2470,4941,1673383200000.0,12.75,0.0018825376,surge,2,0.0031362113,0.0062724226,0.0062724226,4942.0,1673384600000.0,-0.0026581446,precursor,12.76,-0.015332676,0.0012171707,-0.0067093493,0.005091328,4.0,-0.0025001753,-0.010000701,Cluster 0
2471,4943,1673386500000.0,12.77,0.0007063134,surge,1,0.0007063134,0.0007063134,0.0007063134,4944.0,1673387200000.0,-0.0021927617,precursor,12.75,0.0039952663,0.002852658,0.0022826574,0.011398622,1.0,-0.0021927617,-0.0021927617,Cluster 0
2472,4945,1673387800000.0,12.75,0.0007075462,surge,1,0.0007075462,0.0007075462,0.0007075462,4946.0,1673388200000.0,-0.003844493,precursor,12.72,-0.07162066,0.0038343242,-0.031766247,0.01662053,3.0,-0.006678278,-0.020034833,Cluster 0
